,DotNetUrls,Heading,DotNetContent
72,http://1000projects.org/online-real-estate-system-net-project.html,online real estate system net project.," Abstract: Online real estate system is a project which provides a friendly format for buying and selling properties. Users can search and browse for property in this application. This application also allows users to book the property online. This application mainly concentrates on maintaining and managing the details of the property. This application deals with buying and selling the houses, lands, commercial properties all over the world. Existing System: The existing real estate system is converted to the computerized system. This system is a manual where storing information is very difficult. This is not a web-based system and cannot be accessed easily. A lot of communication gap between customer and seller. If customer/seller wants to update the details of his property, he should contact the agent or visit office. If customer/seller gives any updated details regarding his property then agent have to change all the details on every record-keeping register. Proposed System: The proposed real estate system allows a user to store property, customer, seller, and staff details. It allows users to update, search property details and use them whenever necessary. It will also be able to provide financial, sold properties, all staff, all contacts reports.            Modules: Customer: The customer can get registered with the system by entering all the details. He can enter into the website by giving a valid username and password. The customer can view all the details on the website. The customer can view the details of the updated properties. The customer can post properties and post emails regarding the properties. Vendor: The vendor can get into the website with a valid username and password. The vendor can view all the posted properties of the customer. The vendor can view all the posts of the customers. The vendor can add the details of the new properties. Conclusion: Our system provides the facilities of buying and selling of homes and properties in a user-friendly format. The seller can upload his/her property from anywhere. Our real estate system allows users to browse the property according to this requirement.            "
73,http://1000projects.org/online-computer-store-net-project.html,online computer store net project.," INTRODUCTION The project entitled “ONLINE COMPUTER STORE” is a web-based application software developed in ASP.Net using C# as front end and SQL Server as a backend. Client Server Technology           Client/ Server with RDBMS and Web-Based Application The proposed Online Computer Store system comes under Client/ Server with RDBMS category, as there is need to manipulate the transaction online network based for multi-user and faster and the quires output in quick successive time and also the highly secured. This Online Computer Store project is categorized as Relational Database Management System (RDBMS) which is base on client-server architecture. In client Server architecture the interface for use is created in any programming language (Front-end) and the database where data is stored is called back end. The user interface is treated as a client to which user request for data and user interface sends the user request to the server as database and the server returns the data required by the client program manipulation. SYSTEM REQUIREMENT (A) Hardware Requirement- • PROCESSORS: Pentium 4/Celeron/Dual Core/ Core 2 Duo/Core i 3 /Core i 5 • RAM :1 GB/2 GB/4 GB • CD/DVD DRIVE • HDD:40 GB /80 GB/160 GB • MONITOR :16 “ SVGA • POINTING/OPTICAL DEVICES: (MOUSE), ONE MICROSOFT NATURAL PS2 KEY BOARD SYSTEM REQUIREMENT (B) Software Requirement- Internet Technology: Front End  ASP.Net RDBMS/BACK END: MICROSOFT ACCESS 2003 Language: C# Scripting Language: Java Script. Web Server: IIS(Internet Information Server) Operating Systems: Windows 7, Windows XP sp2, sp3, Windows 2000 server, Windows server 2003 Application: Web-Based Application    MODULES Basically, there are four modules. They are as follows- 1. Admin 2. Customer 3. Support 4. Report generation 1. ADMIN- An ‘ADMIN’ is a person who manages all the deeds related to the product. For instance- • Product creation • Change price list • Set discount & offers • Check the minimum level of product • Daily sale/purchase report 2. PRODUCT ENTRY- A ‘CUSTOMER’ is a person who visits on the site, make his account, login to the site and then take services given by the providers of the site. For instance- • New registration • Login for existing member • Paid a sales invoice • Product delivery report 3. PRODUCT PURCHASE- The ‘SUPPORT’ is an area where consumers can give their views and advices related to the product. For instance- • Customer feedback entry • Solution of feedback • Product query. 4. USER LOGIN- The ‘REPORT GENERATION’ module defines all the information related to the project. For instance- • Customer status report • Supplier status report • Product status report   DATABASE DESIGN Admin: This entity store Username and password of the administrator.    Name Data type Key Constraints   Username varchar(20) Primary key Not Null   Password varchar(20)  Not Null    MEMBER: This entity store the information of new member.    Name Data type Key Constraints   First name varchar(20)  Not Null   Last name varchar(20)  Not Null   Address Varchar(100)  Not Null   City varchar(20)  Not Null   Country varchar(20)  Not Null   Contact No. numeric     Email varchar(40) Primary Key    Password varchar(20)  Not Null      Product Category: This entity store information of products category like mobile, computer, electronic items etc.    Name Data type Key Constraints   Category_Id int Primary Key    Category Name varchar(20)  Not Null     Product Item: This entity store the information of product items.    Name Data type Key Constraints   Product_Id int Primary key    Category_Id int Foreign Key    Product Name varchar(20)  Not Null   Rate numeric  Not Null   Unit numeric  Not Null   Opening Stock numeric  Not Null    Product_trans: This entity store the information of product transition.    Name Data type Key Constraints   Invoice No int Primary key    Member_Id int Foreign    Product_Id int Foreign    Trans_Date int  Not null   Qty Numeric  Not null   Amount Numeric  Not null   Discount Numeric  Not null   Net _amount Numeric  Not null   Trans_Mode Numeric  Not null     Product Supplier: This entity store the information of product Supplier.    Name Data type Key Constraints   Supplier_id int Primary key    Product_id int Foreign key    Purchase_Date Date  Not null   Qty Numeric  Not null   Total amount Numeric  Not null   Discount Numeric     Net Amount Numeric  Not null   Payment mode int  Not null               "
74,http://1000projects.org/career-counseling-website-net-project.html,career counseling website net project.," Introduction To Career Counseling Website Project This Career Counseling project is being concerned that it is acceptable by the university. Because of this project has determined each and every requirement (according to my best knowledge) of university members whether they are literate or illiterate about the computer. Here in this .Net project, anyone who knows the security codes of this program can use this program usually. I have mentioned here each and every instruction so that one can operate this program.           In this Career Counseling project can be used for the following purpose:  We can add, update Student Registration. We can add Question according to own choice. We can change the password of the Administrator. We can Sign in as the user (Student). We can give aptitude test & get the own result. We can also select the Courses & Colleges according to own choice. I have done in this project class name such as technical class (B.C.A., M.C.A., and P.G.D.M. etc) Above all class defined by every part or semester. The infrastructure of my project is so interesting. By Software everyone can use calculator or notepad to solve the basic problem related to project. Al last about me declared such as knowledge for the university.  Software & Language:  Microsoft Visual Studio 2008 Microsoft Access    DATA DICTIONARY We use the MS Access database as a backend to maintain the record for the Career Counseling  Management Software. Data base name: – Career.ACCDB   1) Table Name: Admin_Login  Admin_Login  table  contains the User_Name & Password of the Administrator . User_Name Contains the Primary key.    Fields Name Data Type Length (size)   User_Name Text 25   Password1 Text 25     2) Table Name: Student  Student_Add contains all valuable information about the students who are there in the computer center. It consists of Enroll as a primary key.    Fields Name Data Type Length (size)   Student_Id Number 25   Name Text 25   Father_Name Text 25   DOB Date/Time 25   Gender Text 25   Mobile_No Number 25   Address Text 25   City Text 25   Country Text 25   E_Mail Text 25   Password Text 20   Re-Password Text 25   Qualification Text 25    Description: Owner can get the information about Students. Student_id: Student_Id is a primary key in student table. Enroll is assign to the new student for the registration, which is unique. This Student_Id is automatically generated by the software when the new student request for registration.   Name: This field defines the name of the Student. Father_Name: This field defines the Father’s name of the student.   DOB: This field the date of birth of the student.   Gender: This field defines the sex of the student.   Mobile_No: This field defines the mobile number of the student.   Address : This field defines the Address of student   City: This field defines the city of the Student.   Country :                This field defines the Country of the Student.     Email:                     This field defines the Email of the Student.   Password1 :                  This field defines the Password of the Student.   Qualification: This field defines the qualification of the student.  3) Table Name: Question_Table     Fields Name Data Type Length (size)   Question_Id Number 25   Question Text 500   Answer1 Text 25   Answer2 Text 25   Answer3 Text 25   Answer4 Text 25   Correct_Answer Number 20   Marks Number 15    Description Owner can get the information about the Question. Question_Id:                     Question_Id is a primary key in Faculty table. Question_Id is a assign to the new Question, it is a unique key. This Question_Id is automatically generated by the software when the new Question_Id is registered. Question : This field defines the Question . Answer1: This field defines the Answer1 of the Question. Answer2: This field defines the Answer2 of the Question. Answer3: This field defines the Answer3 of the Question. Answer4: This field defines the Answer4 of the Question. Correct_Answer: This field defines the Corrrect_Answer of the Question. Marks: This field defines the Marks. Topic: This field defines the Topic of the Subject.  4) Table Name: Aptitude_Test     Fields Name Data Type Length(size)   Question_Id Number 15   Student_Id Number 15   Question_Status Text 100   Marks Number 15    Description Use to test for Student. Question_Id:                   This field contains the Question_Id of the Question_Table. Student_Id: This field contains the Student_Id of the Student_Table. Question_Status :                This field contains the Question of the Question_Table. Marks :    This field contains the Marks of the each Question.  5) Table Name: Contact_Us     Fields Name Data Type Length(size)   Full_Name Text 25   Contact_No Number 15   Email_Id Text 25   City Text 25   Message Text 500    Description Use to  Ask Question for Contact_Us . Full_Name:                   This field contains the Full_Name of the Candidate. Contact_No: This field contains the Contact_No of the User. Email_Id:                This field contains the Email_Id of the User. City:    This field contains the City of the User. Message: This field contains the message of the User.            "
75,http://1000projects.org/super-market-management-system-net-project.html,super market management system net project.," ABSTRACT It is a windows application. By using this application, the admin can generate various details about the regular customer’s, product records, etc. In this application, The Supermarket agent will enter the details of the customer and then the agent will provide an ID to the customer and he will maintain the details of the customers, product quality, price, etc in the database. In this Super Market Management application, we are providing a scheme that, when the customer purchase rate reaches a certain level the application automatically adds some points to the customer’s ID. Once the user points reach a certain level a message will be displayed, saying that he has won a gift.           This Super Market Management System project will lead to an expansion of the Supermarket with open publicity to gain high margins in the market. In the feature, we can develop this project into a web application. SOFTWARE REQUIREMENTS: • Operating System Server: Windows • Database Server: Microsoft SQL Server • Client: Microsoft Internet Explorer • Tools: Microsoft Visual Studio .Net • User Interface: Asp.Net with Ajax • Code Behind: VC#.Net HARDWARE REQUIREMENTS: • Processor: Intel Pentium or More •REQUIREMENTSRam and above • Hard Disk: PC with 20GB and above            "
76,http://1000projects.org/software-project-organizer-net-project.html,software project organizer net project.," This Software Project Organizer .Net Project is developed to maintain organization’s total info like a number of branches, total working employees with their performance, worksheets, talent transformation, Company ongoing projects with full details, coding standards to develop an application, etc.. This project organizer in a software company application has the following main modules: 1. Branch Information Module: This module handles the information of all the unique branches existing under the organization. The information is maintained in branch master table. It also maintains the employees working under a particular branch, which can be known a report generated on employee master table grouping on branch id.           2. Employee information module: It manages the following submodules  Employee’s performance module. Employees took assignment module Employee’s skill set information module.  This module maintains the total information related to the employees working in the organization. Their designations and the departments in which they are recruited. It also gives the information regarding the employee’s performance within the organization related to their job targets. It manages a clear history of an employee skill sets and defines the role played by the employee in a project and the area of his interaction in the project i.e., at the level of project or module component of elements. It also maintains department master table. 3. Project information management module:  It maintains the total information related to the unique projects that have been signed for a contract of development. The module reveals the information regarding which project belongs to which client and the associated employee who is in charge of the overall project. The major concentration is surrounded by the facts table, which clearly specifies how many modules a project manages with respect to no. Of components in each module and the no. Of elements in association with each component. The module also specifies the duration of each entity with respect to the role played by each employee and the entity level in charge. 4. Package information module:  This module manages the entire information regarding the different types of packages that are purposefully used by the organization in their project development process and specifies the required packages list to complete a signed project. It also relates itself to know the different packages an employee can handle, which can serve as an information to recognize which employee can be resourceful to which type of project. 5. Project documentation Module:  This module maintains the overall information related to all the documents that are produced in course of project development process by different employees with respect to different areas of the project. The module also serves to build on online help like system for the sake of user convenience and serves as a reference material to the developers as well as users. 6. Employee’s performance management module:  This module maintains the specific time levels taken by the employer in completing his tasks in turn serving the project analysis team to get the history of employees response towards an assigned task. The information from this module can be used as a cross-referential check to know the rating levels of the employee as designated within the company. 7. Report designing module:  This module practically manages the descriptive reports that are necessary within the organization as per the requirements of the information format at different levels of designations or departments. Software and Hardware Specifications: Hardware:  Processor : Intel Pentium 4 Processor with 700MHZ or more Ram : 256 MB or more Cache : 512 KB Hard disk : 20 GB hard disk recommended. Software: Operating system : Windows 2000 SERVER Front End Software : ASP.NET Code behind : VB.NET (Visual Basic .NET) Validations : Jscript Back End Software : SQL Server 2000            "
77,http://1000projects.org/secure-multimedia-audio-video-streaming-net-project.html,secure multimedia audio video streaming net project.," Introduction Purpose This project is used to efficiently uses the Bandwidth when downloading Audio/Video files by using Streaming Procedure. Streaming is nothing but a process of Transferring data(Audio/Video) from source system to destination in the form of bits/ bytes through an application. For example, suppose 100 users log in to the web server, there will be less bandwidth when uploading/downloading the files from the web. So by introducing a Streaming concept, we can reduce the time required for uploading/downloading the audio/video files. Document Conventions To prepare this SRS we had used the lettering style of Times New Roman and Font size we used for sub had subheadings which are of bold. The matter which is mentioned in this SRS is 14 with a lettering style Times New Roman. Then coming to the part of headings which are of lettering style Times New Roman which is of Font size 16.Then next coming to the part of important point in our SRS is shown through the italic box.           Intended Audience and Reading Suggestions This SRS is for better understanding the concept of Streaming. The rest of the part of the SRS is mentioned with the what our product benefits, how to use the product, how the product was developed, what are the major things we have taken in to the consideration all are mentioned in this rest of  the part of the SRS. System Features There are four modules which need to be develop are Streaming Module: Defines the procedure of transferring the Audio/video files in the forms of streams. Each audio/video file is converted into bit and bytes while playing the file. Each part of downloaded bit and bytes stream is played along with the corresponding another part is downloaded in parallel. Users: It defines how the users have to be interacting with the site. Each user has own authentication based on the registration done. All the users information is maintained corresponding to their audio/video files downloads. Search Module: It involves using of various search criteria’s to get required audio/ video files. Various search criteria’s to search for the songs like user can search for the required song based on song wise search, artist wise search etc. Uploading and Downloading Audio/Video: It provides the procedure of uploading the Audio/Video Files. Uploading of different audio/video files and downloading is audio/video files based on the file type like payment type or free.            "
78,http://1000projects.org/information-screen-share-marketing-net-project.html,information screen share marketing net project.," In this Information Screen in Share Marketing system, Login Screen contains an online catalog for the user, The menu should contain following screens: Registration Screen it is used by Insurance agent which is for registering this system, Stock registration Screen facilitates the trader to add a new share that he/she has purchased and sold those stocks which are not  purchased. Other forms like Stock Performance Screen 1, Stock Performance Screen 2, Asset Indicator screen, Buy Stock Request screen, Sell Stock Request screen, Sell Stock Request screen, Buy Stock screen, Sell Stock screen, Sell Stock screen. PROJECT DESCRIPTION The project titled “INFORMATION SCREEN IN SHARE MARKETING” is designed using Active Server Pages .NET with Microsoft Visual Studio.Net 2005 as front end and Microsoft SQL Server 2000 as backend which works in .Net framework version 2.0. The coding language used is C#.Net. The project contains the following main modules:           The project contains three main modules: 1. Home 2. Administrator 3. Share Holder 4. Company 5. Contacts Home: The home module is the main page of this system. In this page all modules link are available. Admin: The Admin Login page contains the following submodules. 1. View Share Holders 2. View Company Information 3. View Shares. View Share Holders • It consists of the information of the shareholder • Company name, city, mobile number, share amount, number of shares and the name of the shareholder • It contains the hyperlink to go to first, last, previous and last page View Company Information • It consists of the information of the company who announces their Shares • And also display owner of the company, company name, city, mobile number, Number of the employee, last year profit, and current year profit, group. • It contains the hyperlink to go to first, last, previous and last page View Shares: This page contains all the information about shares who are sold and buy. Share Holder: The Shareholder login page contains the following submodules. 1. Buy Shares 2. Sell Shares 3. My Profile 4. View Shares Buy Shares: It displays the Share rate and how much shares are available for which company. From that page, we can buy the particular shares online. Sell Shares: It is the option of selling our shares to the broker through online. My Profile: The profile page consists of the details of that shareholder. View Shares: It displays the whole share details with all modifications. Company: The Company login page contains the following submodules. 1. Buy Shares 2. Sell Shares 3. New Shares 4. View Shares Contacts: The contact page contains the Address of the broker as well as owner. SYSTEM SPECIFICATION  SOFTWARE SPECIFICATION The software used for the development of the project is: OPERATING SYSTEM : Windows 2000 Professional, Latest OS ENVIRONMENT : Visual Studio .NET 2005, Latest Edition. .NET FRAMEWORK : Version 2.0 LANGUAGE : C# .NET WEB TECHNOLOGY : Active Server Pages.NET WEB SERVER : Internet Information Server 5.1 BACK END : MS-SQLSERVER 2008 REPORTS : Web Form Data Grid control            "
79,http://1000projects.org/mobile-payment-system-net-project.html,mobile payment system net project.," Abstract The project entitled Mobile payment system is an application to assist mobile phone users to access the information of different bills, send and receive a request from almost anywhere, anytime. At the single touch of a button, the user is provided with an array of information. This project mainly caters to the professionals. Housewives and also business people who like to save their time and do their work in the home. Mobile Bill Online Payment system has the most advanced set of accessibility features for providing users with a flexible, user-friendly interface. Some of the exclusive features of this application include accessing the data at the server and retrieving the data from the database. When a user selects to launch Mobile Bill Payment, he is logged on to a screen where he is asked to select which service he would like to access. Then based upon the users choose the user is presented with a list of the particular service bill details. If the user selects the options provided on the screen given he is instantly provided with the information pertaining to that particular service. Scope: The objective of this system is to provide a solution to make payment of the Bills and recharge the mobiles using a single window system. In this system, the Administrator should able to add new Vendors of the mobile company to the system. The Administrator will add or update the different offers provided by the company which can be done through online. If the customer is facing issues in Online payment or other transactions he/she should able to register Complaint to the Administrator to the system.           Out of Scope: • Online Payment for recharge amount is should reflect in customer bank account. • After recharging to the mobile the SMS should be sent to the mobile as confirmation of the transaction. Modules: 1 Administrator 2 Customer 3 Web Registration 4 Reports 5 Authentication Administrator • Should able to add new Vendors of the mobile connection company. • Should able to add or update the different offers provided by the Vendors which can be used by the customers through the internet. • Should able to receive the Complaint from Customers for the transaction related issues. • Should update the Mobile numbers from Vendors into the system. Customers • Should able to register to the site to get pay the Mobile bill online. • Should able to Recharge their mobile with different top-ups provided by the vendors. The mobile number given by the customer will be cross verified by the Vendors (using the vendor database). • Should able to register Complaint against the issues in Recharge or Mobile Online payments. • Should able to check the previous payment details as History. Registration: The system has a process of registration. Every User need to submit his complete details in the form of registration. Whenever a User registration completed automatically he/she can get a user id and password. By using that user id and password he/she can log into the system. Reports Different kind of reports is generated by the system. 1. Customers Report 2. Complaints Report             "
80,http://1000projects.org/web-mining-web-project-net.html,web mining web project net.," Abstract: Web mining is the useful website for students in this we have a large amount of data which is very useful to different category students it has data about many subjects. In this, we have mainly two types of sites like adaptive sites and video library. Adaptive sites contain information like java and .net framework. Video library has information about different things like databases, technologies, multimedia, and scripts. In this it again divided into subtypes like Oracle, SQL server etc. in this we have large amount of information Modules:            adaptive sites video library. search.   Adaptive sites: In this, we have information about different programming languages like Java and .net in this there is a huge amount of information about programming languages it is very useful for basic learning students. Video library In this, we have very large amount of information for different technologies like databases, technology, multimedia, scripts in this it is again subdivided into different types like if we take database we have information about Oracle, SQL server. If we take script languages means we have java server pages, active server pages, PHP, python etc Search: In this module, if you have any doubt you can search it in the search bar in this enter your language you need and press search button you will get information about related search item. System Specifications: Hardware Requirements:                         Pentium-IV (Processor). 256 MB Ram 512 KB Cache Memory Hard disk 10 GB Microsoft Compatible 101 or more Key Board   Software Requirements:                                   Operating System:           Windows XP Programming Language:           C# Web-Technology:           Asp.Net 2.0 Back-End:           SQL Server 2005 Web Server:           IIS             "
81,http://1000projects.org/easy-xml-editor-vb-net-project.html,easy xml editor vb net project.," PROJECT DESCRIPTION The project “EASY XML EDITOR” is designed for the purpose of creating XML pages in an easy way. The project contains the following menus:           File New,   Open, Save,   Save As, Page Setup, Print Exit The new option is used to create a new file. During this option, if the current file is not saved, then a message box will appear to save the current file and the new file is created. It contains the XML file header information. The open option is used to open the file. During this option, if the current file is not saved, then a message box will appear to save the current file and the selected file is opened. The save option is used to save the file. During this option, if the current file is not saved, then a message box will appear to save the current file and is saved with the given name. The save option is used to save the file. During this option, then a message box will appear to save the current file and is saved with the given name. Edit      Cut,     Copy, Paste Delete Select All Find,    Replace      This is same as normal operation.      Insert node      A node name is typed to insert the node. View  Code  The default coding view is displayed.  Design  The output of the XML file is displayed in the browser.  Print Node  All the node details are listed out. Format  Font Background,   Foreground Tag, Attribute, Values, Punctuation Reset  Font, as well as color, can be selected for individual tokens. The reset option will set the colors back to the default. Check  Reformat  This is used to change the color values if the tags are not well-formed.  Syntax Verification  All the error situations are identified here and reported. At any time, only one error is displayed. EXISTING SYSTEM In the existing system, editors such as notepad are used for XML file creation. Otherwise, we go for .Net environment, which is costlier. In addition, in that editors, the error checking may not be possible. Moreover, only during runtime, the error is displayed in the browser. PROPOSED SYSTEM To avoid the drawbacks of the existing system, an enhanced editor is developed. The editor is particularly designed for XML code generation. With less effort, a maximum of coding lines can be prepared. The new system is having the following advantages. HARDWARE CONFIGURATION The hardware used for the development of the project is:  PROCESSOR:           Latest RAM:           128 MD SD RAM MONITOR:           15” COLOR HARD DISK:           20 GB CD DRIVE:           LG 52X KEYBOARD:           STANDARD 102 KEYS MOUSE:           3 BUTTONS SOFTWARE CONFIGURATION: The software used for the development of the project is: OPERATING SYSTEM:           Latest OS ENVIRONMENT:           Visual Studio LANGUAGE:           Visual Basic.NET Limitations :  Tags with the different case may not be identified. Syntax checking is not present. XML data cannot be viewed in tabular form in some editors. Individual colors separation and fonts are not possible for tags, attributes, and values.  Advantages :  Automatic Ending tags are provided. Case Sensitive tag checking is possible. Syntax checking and Error notification at design time. The output can be quickly viewed. Individual colors separation for tags, attributes and values are given. Colors as well as fonts can be selected for individual tokens as well as background and the data. XML Data can be viewed in tabular form so that easy interpretation of data is possible. Easy interpretation of coding.             "
82,http://1000projects.org/software-requirements-specification-student-management-system.html,software requirements specification student management system.," This is the Software Requirements Specification for Student Management System, Which is developed using .Net and SQL Server. 1: Introduction 1.1 Purpose Our product is student management system gives all the services that must be provided to a student over the internet to find fee details provided by that administrator of the college. This product contains each and every data regarding student, payment etc., personal details which can be updated by the student and viewed by the administrator. It provides the detailed information about the fee details and the location (place) of college. Our product is a subpart of university management system.            1.2 Intended Audience and Reading Suggestions The intended audience for this Student Management System document is the internal guides of the organization where the team has developed the project. Further modifications and reviewing will be done by the organization and deliver a final version. The final version of this document is reviewed by the Internal Guides and Head of the Department of the college. 1.3 Project Scope Our Student Management System product usage makes work done at the faster way the software is applicable to view the fee details provided by the administrator of the organization and student can edit his personal details which can be viewed by the administrator.  2: Overall Description 2.1 Product Perspective Student Management System is capable of managing each and every data regarding student, payments etc. Student Management System helps us in managing in an extremely efficient way. This Student Management System works in an efficient manner. We have two modules in this project. One is admin and other is the user. Admin can maintain the fee details of students and can generate the reports can export the details to excel. User module can edit their personal details and can view the fee details. 2.2 Product Features  Reduces the manual workload. Complete details of the student can be stored and retrieved. Admin can see all the student’s payment details and also export to excel sheets. The student can view all his details, payment details and the location of the college.  2.3 Design and Implementation Constraints The Student Management System software is designed in such a way that the user can easily interact with the screen because of GUI. The admin and the user are the two users who use the project. The admin inserts the details of the students and the fee details that the students have paid. User/ student can view his/her details, update if required and check the fee details. Software requirements: • Microsoft .Net framework 3.5 • Microsoft Visual Studio 2008 • Microsoft ASP.Net 3.5 • Microsoft C#.Net language • Microsoft SQL Server 2005 • ADO.NET • HTML Hardware Requirements: Processor: Intel Pentium 4 or more Ram: 1 GB or more Hard disk: 40 GB hard disk recommended for the primary partition. 2.5 User Documentation In our user manual, we are going to keep the information regarding our product which can be understandable by a new person who is going to use it. If a new person is using it online help will be provided in that we are going to explain each and every step clearly by our product can be useful for any user. 3: System Features This Student Management System project is divided into 2 modules 1. Administrator and 2. User Module Description Admin: Admin is a person whose responsibility is to maintain the database that contains each and every data regarding the all the student. Admin can add student details into the database, can be able to delete student details and can update the student fee details. Admin has some other responsibilities they are • Admin is can maintain the fee details of each and every student. • Admin can generate the reports of the students and • Admin can export the details to excel. User: Here the user means the student. The responsibility of the student is to login into the site and can view his/her fee details and can able update his/her personal details if there is any wrong details are present. Whenever the student will register his/her name then the student will be given by one individual username and password. When the student will type the correct username and password then the will enter into another page. In that page, the student can select two options that are updated details and view details. A student can able to update his/her personal details and can be able to view the fee details but cannot update the fee details. 4: External Interface Requirements Hardware Interfaces We require LAN connection for interacting with the database and local computers for any help or any other requirement. We use TCP/IP protocol for communicating with local hosts. We also need a system with P4 processor; 1GB RAM and database memory. Software Interfaces We use MS.Net 3.5 and C#.Net 3.5 Programming language for writing the code for the project. ASP.Net 3.5 for creating the web pages, using GUI for login screens and interacting with the database. SQL server 2005 is used for creating the local and global database (server). Microsoft Visual Studio 2008 IDE for writings the programs. Operating system: Windows XP or higher version. Communications Interfaces The communications functions required by this product are LAN connection within the whole company so that the Admin, employee, and customer can interact with each other. We use TCP/IP protocol.            "
83,http://1000projects.org/estimate-employee-performance-project.html,estimate employee performance project.," Project Title: Estimate Employee Performance Technology: Java Duration: 3 Months           Team Size: 2 The complaints and suggestions module is a part of the web applications which is designed to present the overall description and to list the functionality of the module dealing with the web applications and availability of the information for the public access. This Estimate Employee Performance document will also include an easily traceable means by which different users can trace each function’s (to which they are related) brief description to its full description. This also includes a user interface specification where by the user can demonstrate interface format to be used in designing the system. Furthermore, considerations regarding non-functional requirements are addressed. This Estimate Employee Performance document is intended for users of the system including designers, testers and implementation unit. Desi Gallery Project: A project work for developing Online Image Sharing to develop a web based application, which can be to share the albums with others over an Internet. Desi Gallery is an online gallery, which provides an environment for managing albums. The user requests the administration for hosting his album online. Defect Tracking System The project titled ‘DEFECT TRACKING SYSTEM’ deals with the handling of issues that are posted by the customers.It involves various activities like issue handling, customer status, employee details etc …which  occur frequently in an organization which takes a lot of time. By computerizing the daily activities a lot of time and labor are saved. It also reduces the number of mistakes that occur due to manual work. This system is implemented in Microsoft Visual Basic .Net as Front-end and Oracle 8i as Back-end.            "
84,http://1000projects.org/local-search-engine-net-abstract.html,local search engine net abstract.," Search engine is a web based application to search any information on internet. This Local Search Engine .Net project local search engine stores all the information for a particular locality (like hotels, restaurant, visiting places, home for rent, grocery store, online travel services, market places and so on) in a database. So that if a new person comes to that locality he/she can use the local search engine to fulfill his/her requirement without any trouble . This local search engine has a live chat application so that any person can place order online.           Software Requirements:  Windows (XP onwards) SQL SERVER MICROSOFT.NET NOTEPAD             "
85,http://1000projects.org/online-student-feedback-system-project-synopsis.html,online student feedback system project synopsis.," The purpose of Online Student Feedback System is to provide Periodical feedback by students about the course conduction. Abstract: “Online Student Feedback System” is generally used by four kinds of users: 1. Admin 2. Student 3. Staff (faculty of each course) 4. Coordinators (M.Tech, M.Sc., MCA) 5. Chairman            Each user has their own login id and password. All of these users are to be provided different access rights. Chairman and Admin will be able to view the statistics generated by the system. Faculty will provide access to students for giving feedback Students will fill in the feedback form.  Project Detailed Description: Semester beginning Ist month:  At the beginning of the semester coordinators enter list of the courses and faculties. Faculty will create list of students in the course.  Month 2 to end of the semester:  Each faculty will give permission to students (who have regularly attended the classes) in the course to provide the feedback. Students will login and give the feedback (they will fill the feedback form). Preparation of statistics by the system For each course, for each question, find the percentage of the students who ticked on ‘just right’ Overall statistics can be mailed to admin and Chairman month after month.  Initial stage: 1. Creating the login-id:  Admin will give the login id and password for the faculty and the coordinators. All other users, Faculties will all register into the system, once. When a student gets admitted they will be provided login and password to register into the system. Login id of the students could be their register numbers (which is available at the time of admission)  2. Different permission for different users: Faculties:  The faculty will create the list of the students who opted the course. At the end of each month, Faculty will give the permission to student who are regular, to give the feedback for that course during that month.  Students :  Students can register to the system. At the end of every month, when the student login, they get to know the list of courses for which they can provide feedback. They complete the feedback.  Coordinators :  At the beginning of the semester, prepare the course list and the corresponding faculty  Chairman and Admin : They have the permission to see the overall statistics prepared by the system, using the feedback forms submitted by the students. SYSTEM REQUIREMENTS: Hardware Requirements  Processor: Windows 8. Primary Memory: 2 GB RAM. Hard Disk: 100 GB. The above specified requirements are the minimum required to run the application  Software Requirements  Language used: Visual Basic (VB) Database: M.S.Access Platform : windows 8 Tools used: Visual Studio 2010.  Conclusion: The “Online Student Feedback System” will be helpful for the students as well as the Chairman. Students are free to express their opinion on the course conduction and Chairman has the opportunity to know the manner in which the courses are conducted and perhaps advise the faculty in case the feedback is not satisfactory. Download this Online Student Feedback System .Net Project Synopsis Code and Database Files.            "
86,http://1000projects.org/store-management-system-net-project.html,store management system net project.," Abstract: Stores Management System is a project developed to automate the processes to reduce the clerical labor of the staff working in stores both technical and as well as accounts departments. This system uses the latest technologies and cost-effective tools thereby providing the better control to the management by avoiding manual errors. Stores management system is a web-based manufacturing system that enables a manufacturing industry to schedule its manufacturing operations based on the daily update of sales from its dealers.           Existing System: In the existing system, all the details of the records are maintained manually. Details of the items are not maintained properly. Takes a lot of time and less security. Records are not maintained in a proper order. Loss of data may happen sometimes. Proposed System: The proposed system maintains the information in the database. It is used as an intranet application. This system provides high-security. This system provides easy business solutions to the users. Modules: Admin: Admin will get login with a valid username and password. Admin can view the customer requests. Admin can add the details of the supply forms. Admin views all the customer information. Admin can add the material forms. Customer: Customer needs to fill the registration and get a valid username and password. The customer can make a request for ordering the form. The customer can accept the request and reject the request. Conclusion: Our project store management system has succeeded in managing the details and the list of materials in an easy way without taking much time.            "
